Country Olympic ID,Number of Medals,Olympics Date,Country,Olympic Games ID
0,5,1896-06-29 00:00:00,HUN,0
1,44,1896-06-29 00:00:00,GRE,0
2,13,1896-06-29 00:00:00,GER,0
3,3,1896-06-29 00:00:00,ZZX,0
4,7,1896-06-29 00:00:00,GBR,0
5,6,1896-06-29 00:00:00,DEN,0
6,3,1896-06-29 00:00:00,SUI,0
7,19,1896-06-29 00:00:00,USA,0
8,2,1896-06-29 00:00:00,AUS,0
9,5,1896-06-29 00:00:00,AUT,0
10,11,1896-06-29 00:00:00,FRA,0
11,85,1900-06-29,FRA,1
12,23,1900-06-29,GBR,1
13,9,1900-06-29,ZZX,1
14,3,1900-06-29,NED,1
15,5,1900-06-29,GER,1
16,46,1900-06-29,USA,1
17,14,1900-06-29,BEL,1
18,4,1900-06-29,NOR,1
19,6,1900-06-29,SUI,1
20,6,1900-06-29,DEN,1
21,1,1900-06-29,BOH,1
22,2,1900-06-29,IND,1
23,5,1900-06-29,AUS,1
24,5,1900-06-29,HUN,1
25,2,1900-06-29,CAN,1
26,6,1900-06-29,AUT,1
27,2,1900-06-29,CUB,1
28,4,1900-06-29,ITA,1
29,1,1900-06-29,ESP,1
30,1,1900-06-29,SWE,1
31,232,1904-06-29,USA,2
32,12,1904-06-29,GER,2
33,2,1904-06-29,SUI,2
34,5,1904-06-29,CAN,2
35,2,1904-06-29,GRE,2
36,2,1904-06-29,ZZX,2
37,2,1904-06-29,GBR,2
38,1,1904-06-29,AUT,2
39,4,1904-06-29,HUN,2
40,9,1904-06-29,CUB,2
41,134,1908-06-29,GBR,3
42,5,1908-06-29,ANZ,3
43,8,1908-06-29,HUN,3
44,11,1908-06-29,GER,3
45,21,1908-06-29,SWE,3
46,44,1908-06-29,USA,3
47,19,1908-06-29,FRA,3
48,8,1908-06-29,BEL,3
49,13,1908-06-29,CAN,3
50,3,1908-06-29,RU1,3
51,5,1908-06-29,FIN,3
52,4,1908-06-29,ITA,3
53,5,1908-06-29,DEN,3
54,8,1908-06-29,NOR,3
55,3,1908-06-29,GRE,3
56,2,1908-06-29,RSA,3
57,1,1908-06-29,AUT,3
58,1,1908-06-29,NED,3
59,2,1908-06-29,BOH,3
60,11,1912-06-29,DEN,4
61,24,1912-06-29,GER,4
62,37,1912-06-29,GBR,4
63,4,1912-06-29,RU1,4
64,7,1912-06-29,CAN,4
65,6,1912-06-29,BEL,4
66,25,1912-06-29,FIN,4
67,13,1912-06-29,FRA,4
68,62,1912-06-29,SWE,4
69,8,1912-06-29,NOR,4
70,60,1912-06-29,USA,4
71,6,1912-06-29,RSA,4
72,4,1912-06-29,AUT,4
73,8,1912-06-29,HUN,4
74,5,1912-06-29,ANZ,4
75,2,1912-06-29,GRE,4
76,6,1912-06-29,ITA,4
77,3,1912-06-29,NED,4
78,84,1920-06-29,USA,5
79,42,1920-06-29,GBR,5
80,1,1920-06-29,NZL,5
81,40,1920-06-29,FRA,5
82,22,1920-06-29,ITA,5
83,30,1920-06-29,NOR,5
84,11,1920-06-29,SUI,5
85,11,1920-06-29,NED,5
86,36,1920-06-29,BEL,5
87,58,1920-06-29,SWE,5
88,13,1920-06-29,DEN,5
89,2,1920-06-29,ESP,5
90,8,1920-06-29,CAN,5
91,2,1920-06-29,TCH,5
92,34,1920-06-29,FIN,5
94,8,1920-06-29,RSA,5
95,3,1920-06-29,EST,5
96,1,1920-06-29,LUX,5
97,3,1920-06-29,BRA,5
98,1,1920-06-29,GRE,5
99,3,1920-06-29,AUS,5
100,25,1924-06-29,SUI,6
101,83,1924-06-29,USA,6
102,36,1924-06-29,FRA,6
103,16,1924-06-29,ITA,6
104,4,1924-06-29,CAN,6
105,27,1924-06-29,GBR,6
106,1,1924-06-29,ROU,6
107,9,1924-06-29,TCH,6
108,2,1924-06-29,YUG,6
109,6,1924-06-29,ARG,6
110,10,1924-06-29,NED,6
111,28,1924-06-29,SWE,6
112,37,1924-06-29,FIN,6
113,9,1924-06-29,HUN,6
114,7,1924-06-29,DEN,6
115,4,1924-06-29,AUT,6
116,13,1924-06-29,BEL,6
117,6,1924-06-29,EST,6
118,1,1924-06-29,URU,6
119,1,1924-06-29,JPN,6
120,10,1924-06-29,NOR,6
121,1,1924-06-29,HAI,6
122,2,1924-06-29,POL,6
123,3,1924-06-29,RSA,6
124,1,1924-06-29,NZL,6
125,6,1924-06-29,AUS,6
